Google Scholar Category,Google Scholar Subcategory,Venue,h5 Index,cs_venue,fuzzy_venue_matches,paper_count
"Business, Economics & Management",Educational Administration,educational-assessment-evaluation-and-accountability,25,0,"Educational assessment, evaluation and accountability",4
"Business, Economics & Management",Educational Administration,the-rural-educator,22,0,The rural educator,1
"Business, Economics & Management",Emergency Management,international-journal-of-disaster-risk-reduction,88,0,"International Journal of Disaster Risk Reduction, International journal of disaster risk reduction",14
"Business, Economics & Management",Emergency Management,natural-hazards,63,0,Natural Hazards,17
"Business, Economics & Management",Emergency Management,disaster-medicine-and-public-health-preparedness,53,0,Disaster Medicine and Public Health Preparedness,6
"Business, Economics & Management",Emergency Management,natural-hazards-and-earth-system-sciences,53,0,Natural Hazards and Earth System Sciences,33
"Business, Economics & Management",Emergency Management,geomatics-natural-hazards-and-risk,47,0,"Geomatics, Natural Hazards and Risk",53
"Business, Economics & Management",Emergency Management,earthquake-spectra,45,0,Earthquake Spectra,2
"Business, Economics & Management",Emergency Management,journal-of-flood-risk-management,43,0,Journal of Flood Risk Management,5
"Business, Economics & Management",Emergency Management,international-journal-of-disaster-risk-science,41,0,International Journal of Disaster Risk Science,5
"Business, Economics & Management",Emergency Management,georisk-assessment-and-management-of-risk-for-engineered-systems-and-geohazards,27,0,Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards,1
"Business, Economics & Management",Emergency Management,risks-hazards-and-crisis-in-public-policy,21,0,"Risk, Hazards & Crisis in Public Policy",1
"Business, Economics & Management",Entrepreneurship & Innovation,research-policy,107,0,Research Policy,1
"Business, Economics & Management",Entrepreneurship & Innovation,small-business-economics,100,0,Small Business Economics,2
"Business, Economics & Management",Entrepreneurship & Innovation,journal-of-innovation-and-knowledge,76,0,Journal of Innovation & Knowledge,1
"Business, Economics & Management",Entrepreneurship & Innovation,entrepreneurship-theory-and-practice,75,0,Entrepreneurship Theory and Practice,3
"Business, Economics & Management",Entrepreneurship & Innovation,international-journal-of-entrepreneurial-behavior-and-research,66,0,International Journal of Entrepreneurial Behaviour & Research,2
"Business, Economics & Management",Entrepreneurship & Innovation,international-entrepreneurship-and-management-journal,65,0,International Entrepreneurship and Management Journal,1
"Business, Economics & Management",Entrepreneurship & Innovation,the-journal-of-technology-transfer,61,0,Journal of Technology Transfer,1
"Business, Economics & Management",Entrepreneurship & Innovation,journal-of-the-knowledge-economy,54,0,Journal of The Knowledge Economy,3
"Business, Economics & Management",Entrepreneurship & Innovation,entrepreneurship-and-regional-development,51,0,Entrepreneurship and Regional Development,1
"Business, Economics & Management",Entrepreneurship & Innovation,journal-of-business-venturing-insights,48,0,Journal of Business Venturing Insights,1
"Business, Economics & Management",Finance,finance-research-letters,136,0,Finance Research Letters,1
"Business, Economics & Management",Finance,journal-of-financial-economics,130,0,Journal of Financial Econometrics,3
"Business, Economics & Management",Finance,journal-of-risk-and-financial-management,76,0,Journal of risk and financial management,29
"Business, Economics & Management",Finance,journal-of-banking-and-finance,73,0,Journal of Banking and Finance,1
"Business, Economics & Management",Finance,journal-of-financial-and-quantitative-analysis,63,0,Journal of Financial and Quantitative Analysis,1
"Business, Economics & Management",Finance,international-journal-of-finance-and-economics,57,0,"International Journal of Finance & Economics, International journal of economics and finance, International journal trade, economics and finance",8
"Business, Economics & Management",Finance,the-quarterly-review-of-economics-and-finance,53,0,The Quarterly Review of Economics and Finance,1
"Business, Economics & Management",Game Theory and Decision Science,journal-of-economic-behavior-and-organization,68,0,Journal of Economic Behavior and Organization,1
"Business, Economics & Management",Game Theory and Decision Science,organizational-behavior-and-human-decision-processes,53,0,Organizational Behavior and Human Decision Processes,1
"Business, Economics & Management",Game Theory and Decision Science,games-and-economic-behavior,36,0,Games and Economic Behavior,3
"Business, Economics & Management",Game Theory and Decision Science,experimental-economics,33,0,Experimental Economics,4
"Business, Economics & Management",Game Theory and Decision Science,theoretical-economics,32,0,Theoretical Economics,11
"Business, Economics & Management",Game Theory and Decision Science,group-decision-and-negotiation,28,0,Group Decision and Negotiation,15
"Business, Economics & Management",Game Theory and Decision Science,journal-of-artificial-societies-and-social-simulation,27,0,Journal of Artificial Societies and Social Simulation,15
"Business, Economics & Management",Game Theory and Decision Science,journal-of-behavioral-decision-making,25,0,Journal of Behavioral Decision Making,4
"Business, Economics & Management",Game Theory and Decision Science,dynamic-games-and-applications,21,0,Dynamic Games and Applications,5
"Business, Economics & Management",Game Theory and Decision Science,social-choice-and-welfare,20,0,Social Choice and Welfare,8
"Business, Economics & Management",Game Theory and Decision Science,journal-of-multi-criteria-decision-analysis,20,0,Journal of Multi-criteria Decision Analysis,1
"Business, Economics & Management",Game Theory and Decision Science,decision,17,0,Decision,1
"Business, Economics & Management",Human Resources & Organizations,journal-of-management,103,0,Journal of Management,1
"Business, Economics & Management",Human Resources & Organizations,the-international-journal-of-human-resource-management,86,0,International Journal of Human Resource Management,1
"Business, Economics & Management",Human Resources & Organizations,academy-of-management-journal,84,0,Asian Academy of Management Journal,2
"Business, Economics & Management",Human Resources & Organizations,journal-of-vocational-behavior,83,0,Journal of Vocational Behavior,1
"Business, Economics & Management",Human Resources & Organizations,journal-of-management-studies,80,0,Journal of Management Studies,3
"Business, Economics & Management",Human Resources & Organizations,international-journal-of-project-management,67,0,International Journal of Procurement Management,1
"Business, Economics & Management",Human Resources & Organizations,human-relations,66,0,Human Relations,2
"Business, Economics & Management",Human Resources & Organizations,organization-studies,64,0,Organization Studies,15
"Business, Economics & Management",Human Resources & Organizations,personnel-review,64,0,Personnel Review,1
"Business, Economics & Management",Human Resources & Organizations,journal-of-human-resources,60,0,Journal of Human Resources,1
"Business, Economics & Management",Human Resources & Organizations,administrative-science-quarterly,57,0,Administrative Science Quarterly,1
"Business, Economics & Management",International Business,the-international-journal-of-human-resource-management,86,0,International Journal of Human Resource Management,1
"Business, Economics & Management",International Business,journal-of-international-business-studies,79,0,Journal of International Business Studies,2
"Business, Economics & Management",International Business,cogent-economics-and-finance,52,0,Cogent economics & finance,21
"Business, Economics & Management",International Business,international-marketing-review,46,0,International Marketing Review,1
"Business, Economics & Management",International Business,journal-of-international-management,46,0,"International journal of cancer management, International journal of manangement",5
"Business, Economics & Management",International Business,asia-pacific-journal-of-management,45,0,Asia Pacific journal of health management,2
"Business, Economics & Management",Marketing,journal-of-business-research,209,0,"Asian journal of business research, Journal of Business Research, Journal of Business Research-Turk, Journal of EU research in business",20
"Business, Economics & Management",Marketing,journal-of-retailing-and-consumer-services,154,0,Journal of Retailing and Consumer Services,5
"Business, Economics & Management",Marketing,industrial-marketing-management,113,0,Industrial Marketing Management,1
"Business, Economics & Management",Marketing,journal-of-the-academy-of-marketing-science,79,0,Journal of the Academy of Marketing Science,3
"Business, Economics & Management",Marketing,journal-of-marketing,75,0,Journal of Marketing,2
"Business, Economics & Management",Marketing,psychology-and-marketing,70,0,Psychology & Marketing,1
"Business, Economics & Management",Marketing,journal-of-hospitality-marketing-and-management,68,0,Journal of Hospitality Marketing & Management,1
"Business, Economics & Management",Marketing,journal-of-consumer-research,59,0,Journal of Consumer Research,2
"Business, Economics & Management",Marketing,european-journal-of-marketing,59,0,European Journal of Marketing,3
"Business, Economics & Management",Marketing,international-journal-of-research-in-marketing,58,0,"International Journal of Market Research, International Journal of Research in E-learning, International journal of research in nursing",3
"Business, Economics & Management",Marketing,electronic-commerce-research-and-applications,58,0,Electronic Commerce Research and Applications,4
"Business, Economics & Management",Strategic Management,journal-of-business-research,209,0,"Asian journal of business research, Journal of Business Research, Journal of Business Research-Turk, Journal of EU research in business",20
"Business, Economics & Management",Strategic Management,technological-forecasting-and-social-change,186,0,Technological Forecasting and Social Change,7
"Business, Economics & Management",Strategic Management,journal-of-retailing-and-consumer-services,154,0,Journal of Retailing and Consumer Services,5
"Business, Economics & Management",Strategic Management,management-science,123,0,Management Science,17
"Business, Economics & Management",Strategic Management,industrial-marketing-management,113,0,Industrial Marketing Management,1
"Business, Economics & Management",Strategic Management,journal-of-management,103,0,Journal of Management,1
"Business, Economics & Management",Strategic Management,academy-of-management-journal,84,0,Asian Academy of Management Journal,2
"Business, Economics & Management",Strategic Management,journal-of-management-studies,80,0,Journal of Management Studies,3
"Business, Economics & Management",Strategic Management,omega,80,0,Omega,6
"Business, Economics & Management",Strategic Management,journal-of-the-academy-of-marketing-science,79,0,Journal of the Academy of Marketing Science,3
"Business, Economics & Management",Strategic Management,management-decision,77,0,Management Decision,2
"Business, Economics & Management",Strategic Management,journal-of-innovation-and-knowledge,76,0,Journal of Innovation & Knowledge,1
"Business, Economics & Management",Strategic Management,entrepreneurship-theory-and-practice,75,0,Entrepreneurship Theory and Practice,3
"Business, Economics & Management",Tourism & Hospitality,international-journal-of-hospitality-management,138,0,International Journal of Hospitality Management,3
"Business, Economics & Management",Tourism & Hospitality,current-issues-in-tourism,107,0,Current Issues in Tourism,2
"Business, Economics & Management",Tourism & Hospitality,international-journal-of-contemporary-hospitality-management,106,0,International Journal of Contemporary Hospitality Management,1
"Business, Economics & Management",Tourism & Hospitality,annals-of-tourism-research,97,0,Annals of Tourism Research,2
"Business, Economics & Management",Tourism & Hospitality,journal-of-sustainable-tourism,91,0,Journal of Sustainable Tourism,1
"Business, Economics & Management",Tourism & Hospitality,journal-of-travel-research,86,0,Journal of Travel Research,1
"Business, Economics & Management",Tourism & Hospitality,journal-of-hospitality-and-tourism-management,84,0,Journal of tourism and hospitality management,1
"Business, Economics & Management",Tourism & Hospitality,journal-of-hospitality-marketing-and-management,68,0,Journal of Hospitality Marketing & Management,1
"Business, Economics & Management",Tourism & Hospitality,tourism-economics,51,0,Tourism Economics,1
"Business, Economics & Management",Tourism & Hospitality,international-journal-of-tourism-research,51,0,International Research Journal of Tamil,86
"Business, Economics & Management",Tourism & Hospitality,journal-of-tourism-futures,47,0,Journal of tourism futures,2
"Business, Economics & Management",Tourism & Hospitality,tourism-recreation-research,46,0,Tourism recreation research,1
Chemical & Material Sciences,Analytical Chemistry,biosensors-and-bioelectronics,141,0,"Biosensors And Bioelectronics: X, Biosensors and Bioelectronics",2
Chemical & Material Sciences,Analytical Chemistry,analytical-chemistry,131,0,"Analytical Biochemistry, Analytical Chemistry",28
Chemical & Material Sciences,Analytical Chemistry,trac-trends-in-analytical-chemistry,124,0,TrAC Trends in Analytical Chemistry,1
Chemical & Material Sciences,Analytical Chemistry,sensors-and-actuators-b-chemical,117,0,"Sensors and Actuators B-chemical, Sensors and Actuators B: Chemical",10
Chemical & Material Sciences,Analytical Chemistry,acs-sensors,96,0,ACS Sensors,3
Chemical & Material Sciences,Analytical Chemistry,talanta,94,0,Talanta,3
Chemical & Material Sciences,Analytical Chemistry,analytica-chimica-acta,88,0,"Analytica Chimica Acta, Analytica Chimica Acta: X",6
Chemical & Material Sciences,Analytical Chemistry,lab-on-a-chip,76,0,Lab on a Chip,2
Chemical & Material Sciences,Analytical Chemistry,biosensors,71,0,Biosensors,37
Chemical & Material Sciences,Analytical Chemistry,analytical-and-bioanalytical-chemistry,67,0,Analytical and Bioanalytical Chemistry,18
Chemical & Material Sciences,Analytical Chemistry,journal-of-proteome-research,65,0,Journal of Proteome Research,30
Chemical & Material Sciences,Analytical Chemistry,molecular-and-cellular-proteomics,64,0,Molecular & Cellular Proteomics,57
Chemical & Material Sciences,Analytical Chemistry,journal-of-chromatography-a,63,0,Journal of Chromatography A,1
Chemical & Material Sciences,Analytical Chemistry,journal-of-pharmaceutical-and-biomedical-analysis,60,0,Journal of Pharmaceutical and Biomedical Analysis,2
Chemical & Material Sciences,Analytical Chemistry,chemometrics-and-intelligent-laboratory-systems,50,0,Chemometrics and Intelligent Laboratory Systems,23
Chemical & Material Sciences,Biochemistry,nucleic-acids-research,233,0,Nucleic Acids Research,782
Chemical & Material Sciences,Biochemistry,antioxidants,129,0,Antioxidants,4
Chemical & Material Sciences,Biochemistry,biomolecules,127,0,Biomolecules,65
Chemical & Material Sciences,Biochemistry,journal-of-biological-chemistry,107,0,Journal of Biological Chemistry,92
Chemical & Material Sciences,Biochemistry,nature-chemical-biology,99,0,Nature Chemical Biology,2
Chemical & Material Sciences,Biochemistry,the-embo-journal,99,0,The EMBO Journal,3
Chemical & Material Sciences,Biochemistry,journal-of-biomolecular-structure-and-dynamics,87,0,Journal of Biomolecular Structure & Dynamics,9
Chemical & Material Sciences,Biochemistry,biochemical-and-biophysical-research-communications,78,0,Biochemical and Biophysical Research Communications,1
Chemical & Material Sciences,Biochemistry,febs-journal,78,0,FEBS Journal,7
Chemical & Material Sciences,Biochemistry,antioxidants-and-redox-signaling,67,0,Antioxidants & Redox Signaling,1
Chemical & Material Sciences,Biochemistry,protein-science,66,0,Protein Science,19
Chemical & Material Sciences,Biochemistry,bioscience-reports,65,0,Bioscience Reports,13
Chemical & Material Sciences,Biochemistry,journal-of-cellular-biochemistry,63,0,Journal of Cellular Biochemistry,1
Chemical & Material Sciences,Ceramic Engineering,ceramics-international,114,0,Ceramics International,2
Chemical & Material Sciences,Ceramic Engineering,journal-of-the-european-ceramic-society,82,0,Journal of The European Ceramic Society,1
Chemical & Material Sciences,Ceramic Engineering,journal-of-the-american-ceramic-society,65,0,"Journal of the American Ceramic Society, Journal of the American Chemical Society, Journal of the American Geriatrics Society",38
Chemical & Material Sciences,Ceramic Engineering,journal-of-the-australian-ceramic-society,24,0,Journal of the American Ceramic Society,3
Chemical & Material Sciences,Ceramic Engineering,international-journal-of-applied-glass-science,21,0,"International Journal of Applied Glass Science, International journal of applied science",2
Chemical & Material Sciences,Ceramic Engineering,journal-of-the-ceramic-society-of-japan,19,0,Journal of the Ceramic Society of Japan,1
Chemical & Material Sciences,Chemical & Material Sciences (general),chemical-reviews,267,0,Chemical Reviews,4
Chemical & Material Sciences,Chemical & Material Sciences (general),journal-of-the-american-chemical-society,234,0,"Journal of the American Ceramic Society, Journal of the American Chemical Society",37
Chemical & Material Sciences,Chemical & Material Sciences (general),chemical-engineering-journal,232,0,"Biochemical Engineering Journal, Chemical Engineering Journal",2
Chemical & Material Sciences,Chemical & Material Sciences (general),molecules,184,0,Molecules,286
Chemical & Material Sciences,Chemical & Material Sciences (general),advanced-science,172,0,"Advanced Science, Science Advances",125
Chemical & Material Sciences,Chemical & Material Sciences (general),acs-energy-letters,167,0,ACS energy letters,3
Chemical & Material Sciences,Chemical & Material Sciences (general),international-journal-of-biological-macromolecules,160,0,International Journal of Biological Macromolecules,1
Chemical & Material Sciences,Chemical & Material Sciences (general),accounts-of-chemical-research,155,0,Accounts of Chemical Research,2
Chemical & Material Sciences,Chemical & Material Sciences (general),chemical-science,138,0,Chemical Science,68
Chemical & Material Sciences,Chemical & Material Sciences (general),fuel,133,0,Fuel,3
Chemical & Material Sciences,Chemical & Material Sciences (general),journal-of-molecular-liquids,130,0,Journal of Molecular Liquids,1
Chemical & Material Sciences,Chemical & Material Sciences (general),chem,121,0,Chem,1
Chemical & Material Sciences,Chemical & Material Sciences (general),rsc-advances,117,0,"MRS Advances, RSC Advances",74
Chemical & Material Sciences,Chemical & Material Sciences (general),nature-chemistry,113,0,Nature Chemistry,1
Chemical & Material Sciences,Chemical & Material Sciences (general),acs-central-science,110,0,ACS central science,38
Chemical & Material Sciences,Chemical Kinetics & Catalysis,acs-catalysis,172,0,ACS Catalysis,3
Chemical & Material Sciences,Chemical Kinetics & Catalysis,green-chemistry,124,0,Green Chemistry,1
Chemical & Material Sciences,Chemical Kinetics & Catalysis,catalysts,86,0,Catalysts,4
Chemical & Material Sciences,Chemical Kinetics & Catalysis,chemcatchem,70,0,Chemcatchem,3
Chemical & Material Sciences,Chemical Kinetics & Catalysis,reaction-chemistry-and-engineering,49,0,Reaction Chemistry and Engineering,3
Chemical & Material Sciences,Combustion & Propulsion,combustion-and-flame,70,0,Combustion and Flame,3
Chemical & Material Sciences,Combustion & Propulsion,fire-safety-journal,45,0,Fire Safety Journal,1
Chemical & Material Sciences,Combustion & Propulsion,fire-technology,41,0,Fire Technology,4
Chemical & Material Sciences,Combustion & Propulsion,international-journal-of-engine-research,35,0,"International Journal of Energy Research, International Journal of Engine Research, International Journal of Research, International journal of aging research, International journal of dental research",13
Chemical & Material Sciences,Combustion & Propulsion,journal-of-turbomachinery,31,0,Journal of turbomachinery,1
Chemical & Material Sciences,Combustion & Propulsion,propellants-explosives-pyrotechnics,30,0,"Propellants, Explosives, Pyrotechnics",2
Chemical & Material Sciences,Combustion & Propulsion,combustion-science-and-technology,29,0,Combustion Science and Technology,1
Chemical & Material Sciences,Combustion & Propulsion,fire-and-materials,28,0,Fire and Materials,1
Chemical & Material Sciences,Composite Materials,composite-structures,101,0,Composite Structures,3
Chemical & Material Sciences,Composite Materials,composites-science-and-technology,93,0,Composites Science and Technology,1
Chemical & Material Sciences,Composite Materials,polymer-composites,64,0,Polymer Composites,1
Chemical & Material Sciences,Composite Materials,mechanics-of-advanced-materials-and-structures,51,0,Mechanics of Advanced Materials and Structures,1
Chemical & Material Sciences,Composite Materials,journal-of-composite-materials,44,0,Journal of Composite Materials,1
Chemical & Material Sciences,Composite Materials,polymers-and-polymer-composites,28,0,Polymers & Polymer Composites,1
Chemical & Material Sciences,Crystallography & Structural Chemistry,crystals,61,0,Crystals,17
Chemical & Material Sciences,Crystallography & Structural Chemistry,crystal-growth-and-design,56,0,Crystal Growth & Design,3
Chemical & Material Sciences,Crystallography & Structural Chemistry,journal-of-applied-crystallography,37,0,Journal of Applied Crystallography,15
Chemical & Material Sciences,Crystallography & Structural Chemistry,liquid-crystals,33,0,Liquid Crystals,1
Chemical & Material Sciences,Crystallography & Structural Chemistry,acta-crystallographica-section-d-structural-biology,32,0,Acta Crystallographica Section D: Structural Biology,12
Chemical & Material Sciences,Crystallography & Structural Chemistry,structural-chemistry,32,0,Structural Chemistry,1
Chemical & Material Sciences,Crystallography & Structural Chemistry,acta-crystallographica-section-b-structural-science-crystal-engineering-and-materials,26,0,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",1
Chemical & Material Sciences,Dispersion Chemistry,langmuir,81,0,Langmuir,6
Chemical & Material Sciences,Dispersion Chemistry,soft-matter,65,0,Soft Matter,14
Chemical & Material Sciences,Dispersion Chemistry,gels,46,0,Gels,4
Chemical & Material Sciences,Dispersion Chemistry,aerosol-science-and-technology,38,0,Aerosol Science and Technology,1
Chemical & Material Sciences,Dispersion Chemistry,journal-of-aerosol-science,38,0,Journal of Aerosol Science,1
Chemical & Material Sciences,Dispersion Chemistry,journal-of-nanoparticle-research,38,0,Journal of Nanoparticle Research,4
Chemical & Material Sciences,Dispersion Chemistry,adsorption-science-and-technology,35,0,Adsorption Science & Technology,1
Chemical & Material Sciences,Electrochemistry,energy-storage-materials,161,0,Energy Storage Materials,1
Chemical & Material Sciences,Electrochemistry,journal-of-power-sources,132,0,Journal of Power Sources,2
Chemical & Material Sciences,Electrochemistry,journal-of-energy-storage,126,0,Journal of energy storage,2
Chemical & Material Sciences,Electrochemistry,journal-of-the-electrochemical-society,98,0,Journal of The Electrochemical Society,4
Chemical & Material Sciences,Electrochemistry,acs-applied-energy-materials,88,0,ACS applied energy materials,3
Chemical & Material Sciences,Electrochemistry,sustainable-energy-and-fuels,68,0,Sustainable Energy and Fuels,1
Chemical & Material Sciences,Electrochemistry,escience,56,0,Science,17
Chemical & Material Sciences,Inorganic Chemistry,inorganic-chemistry,89,0,"Inorganic Chemistry, Organic chemistry",2
Chemical & Material Sciences,Inorganic Chemistry,journal-of-cluster-science,51,0,Journal of Computer Science,571
Chemical & Material Sciences,Inorganic Chemistry,organometallics,44,0,Organometallics,1
Chemical & Material Sciences,Inorganic Chemistry,bioinorganic-chemistry-and-applications,32,0,Bioinorganic Chemistry and Applications,3
Chemical & Material Sciences,Materials Engineering,advanced-materials,327,0,"Advanced Materials, Materials advances",7
Chemical & Material Sciences,Materials Engineering,advanced-functional-materials,244,0,Advanced Functional Materials,1
Chemical & Material Sciences,Materials Engineering,advanced-energy-materials,234,0,Advanced Energy Materials,3
Chemical & Material Sciences,Materials Engineering,acs-nano,221,0,ACS Nano,7
Chemical & Material Sciences,Materials Engineering,energy-and-environmental-science,211,0,Energy and Environmental Science,2
Chemical & Material Sciences,Materials Engineering,journal-of-materials-chemistry-a,184,0,Journal of Materials Chemistry C,2
Chemical & Material Sciences,Materials Engineering,acs-applied-materials-and-interfaces,177,0,ACS Applied Materials & Interfaces,6
Chemical & Material Sciences,Materials Engineering,small,164,0,Small,1
Chemical & Material Sciences,Materials Engineering,energy-storage-materials,161,0,Energy Storage Materials,1
Chemical & Material Sciences,Materials Engineering,nano-letters,155,0,Nano Letters,3
Chemical & Material Sciences,Materials Engineering,nature-reviews-materials,149,0,Nature Reviews Materials,1
Chemical & Material Sciences,Materials Engineering,carbon,141,0,Carbon,1
Chemical & Material Sciences,Materials Engineering,additive-manufacturing,135,0,Additive manufacturing,1
Chemical & Material Sciences,Materials Engineering,nano-micro-letters,134,0,Nano-micro Letters,2
Chemical & Material Sciences,Materials Engineering,nanomaterials,131,0,Nanomaterials,22
Chemical & Material Sciences,Materials Engineering,materials,131,0,Materials,231
Chemical & Material Sciences,Medicinal Chemistry,journal-of-medicinal-chemistry,112,0,Journal of Medicinal Chemistry,15
Chemical & Material Sciences,Medicinal Chemistry,european-journal-of-medicinal-chemistry,102,0,European journal of medicinal chemistry,1
Chemical & Material Sciences,Medicinal Chemistry,drug-discovery-today,88,0,Drug Discovery Today,5
Chemical & Material Sciences,Medicinal Chemistry,medicinal-research-reviews,79,0,Medicinal Research Reviews,2
Chemical & Material Sciences,Medicinal Chemistry,natural-products-reports,71,0,Natural Product Reports,2
Chemical & Material Sciences,Medicinal Chemistry,expert-opinion-on-drug-discovery,53,0,Expert Opinion on Drug Discovery,3
Chemical & Material Sciences,Medicinal Chemistry,acs-medicinal-chemistry-letters,51,0,ACS Medicinal Chemistry Letters,3
Chemical & Material Sciences,Medicinal Chemistry,bioorganic-and-medicinal-chemistry,50,0,Bioorganic & Medicinal Chemistry,1
Chemical & Material Sciences,Medicinal Chemistry,chemmedchem,44,0,ChemMedChem,1
Chemical & Material Sciences,Medicinal Chemistry,future-medicinal-chemistry,44,0,Future Medicinal Chemistry,2
Chemical & Material Sciences,Medicinal Chemistry,archiv-der-pharmazie,43,0,Archiv Der Pharmazie,43
Chemical & Material Sciences,Medicinal Chemistry,mini-reviews-in-medicinal-chemistry,42,0,Mini-reviews in Medicinal Chemistry,1
Chemical & Material Sciences,Medicinal Chemistry,current-topics-in-medicinal-chemistry,41,0,Current Topics in Medicinal Chemistry,1
Chemical & Material Sciences,Medicinal Chemistry,molecular-diversity,41,0,Molecular Diversity,16
Chemical & Material Sciences,Medicinal Chemistry,international-journal-of-peptide-research-and-therapeutics,35,0,International Journal of Peptide Research and Therapeutics,3
Chemical & Material Sciences,Medicinal Chemistry,chemical-biology-and-drug-design,35,0,Chemical Biology & Drug Design,2
Chemical & Material Sciences,Nanotechnology,acs-nano,221,0,ACS Nano,7
Chemical & Material Sciences,Nanotechnology,acs-applied-materials-and-interfaces,177,0,ACS Applied Materials & Interfaces,6
Chemical & Material Sciences,Nanotechnology,small,164,0,Small,1
Chemical & Material Sciences,Nanotechnology,nano-letters,155,0,Nano Letters,3
Chemical & Material Sciences,Nanotechnology,nano-micro-letters,134,0,Nano-micro Letters,2
Chemical & Material Sciences,Nanotechnology,nanomaterials,131,0,Nanomaterials,22
Chemical & Material Sciences,Nanotechnology,nanoscale,131,0,Nanoscale,4
Chemical & Material Sciences,Nanotechnology,advanced-optical-materials,117,0,Advanced Optical Materials,2
Chemical & Material Sciences,Nanotechnology,journal-of-materials-chemistry-b,95,0,Journal of Materials Chemistry C,2
Chemical & Material Sciences,Nanotechnology,the-journal-of-physical-chemistry-c,87,0,"Journal of Physical Chemistry A, Journal of Physical Chemistry B, Journal of Physical Chemistry C, The Journal of Physical Chemistry, The journal of physical chemistry",54
